Title,Sanskrit,English-Sanskrit,Synonyms,Translation
1.14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ ।\nमाधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥ १४ ॥,tataḥ śvetair hayair yukte\nmahati syandane sthitau\nmādhavaḥ pāṇḍavaś caiva\ndivyau śaṅkhau pradadhmatuḥ\n\n,tataḥ — thereafter; śvetaiḥ — with white; hayaiḥ — horses; yukte — being yoked; mahati — in a great; syandane — chariot; sthitau — situated; mādhavaḥ — Kṛṣṇa (the husband of the goddess of fortune); pāṇḍavaḥ — Arjuna (the son of Pāṇḍu); ca — also; eva — certainly; divyau — transcendental; śaṅkhau — conchshells; pradadhmatuḥ — sounded.,"On the other side, both Lord Kṛṣṇa and Arjuna, stationed on a great chariot drawn by white horses, sounded their transcendental conchshells."
1.15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः ।\nपौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥ १५ ॥,pāñcajanyaṁ hṛṣīkeśo\ndevadattaṁ dhanañ-jayaḥ\npauṇḍraṁ dadhmau mahā-śaṅkhaṁ\nbhīma-karmā vṛkodaraḥ\n\n,"pāñcajanyam — the conchshell named Pāñcajanya; hṛṣīka-īśaḥ — Hṛṣīkeśa (Kṛṣṇa, the Lord who directs the senses of the devotees); devadattam — the conchshell named Devadatta; dhanam-jayaḥ — Dhanañjaya (Arjuna, the winner of wealth); pauṇḍram — the conch named Pauṇḍra; dadhmau — blew; mahā-śaṅkham — the terrific conchshell; bhīma-karmā — one who performs herculean tasks; vṛka-udaraḥ — the voracious eater (Bhīma).","Lord Kṛṣṇa blew His conchshell, called Pāñcajanya; Arjuna blew his, the Devadatta; and Bhīma, the voracious eater and performer of herculean tasks, blew his terrific conchshell, called Pauṇḍra."
1.16-18,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः ।\nनकुलः सहदेवश्च सुघोषमणिपुष्पकौ ॥ १६ ॥\nकाश्यश्च परमेष्वास: शिखण्डी च महारथ: ।\nधृष्टद्युम्न‍ो विराटश्च सात्यकिश्‍चापराजित: ॥ १७ ॥\nद्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते ।\nसौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक्पृथक् ॥ १८ ॥,anantavijayaṁ rājā\nkuntī-putro yudhiṣṭhiraḥ\nnakulaḥ sahadevaś ca\nsughoṣa-maṇipuṣpakau\n\nkāśyaś ca parameṣv-āsaḥ\nśikhaṇḍī ca mahā-rathaḥ\ndhṛṣṭadyumno virāṭaś ca\nsātyakiś cāparājitaḥ\n\ndrupado draupadeyāś ca\nsarvaśaḥ pṛthivī-pate\nsaubhadraś ca mahā-bāhuḥ\nśaṅkhān dadhmuḥ pṛthak pṛthak\n\n,"ananta-vijayam — the conch named Ananta-vijaya; rājā — the king; kuntī-putraḥ — the son of Kuntī; yudhiṣṭhiraḥ — Yudhiṣṭhira; nakulaḥ — Nakula; sahadevaḥ — Sahadeva; ca — and; sughoṣa-maṇipuṣpakau — the conches named Sughoṣa and Maṇipuṣpaka; kāśyaḥ — the King of Kāśī (Vārāṇasī); ca — and; parama-iṣu-āsaḥ — the great archer; śikhaṇḍī — Śikhaṇḍī; ca — also; mahā-rathaḥ — one who can fight alone against thousands; dhṛṣṭadyumnaḥ — Dhṛṣṭadyumna (the son of King Drupada); virāṭaḥ — Virāṭa (the prince who gave shelter to the Pāṇḍavas while they were in disguise); ca — also; sātyakiḥ — Sātyaki (the same as Yuyudhāna, the charioteer of Lord Kṛṣṇa); ca — and; aparājitaḥ — who had never been vanquished; drupadaḥ — Drupada, the King of Pāñcāla; draupadeyāḥ — the sons of Draupadī; ca — also; sarvaśaḥ — all; pṛthivī-pate — O King; saubhadraḥ — Abhimanyu, the son of Subhadrā; ca — also; mahā-bāhuḥ — mighty-armed; śaṅkhān — conchshells; dadhmuḥ — blew; pṛthak pṛthak — each separately.","King Yudhiṣṭhira, the son of Kuntī, blew his conchshell, the Ananta-vijaya, and Nakula and Sahadeva blew the Sughoṣa and Maṇipuṣpaka. That great archer the King of Kāśī, the great fighter Śikhaṇḍī, Dhṛṣṭadyumna, Virāṭa, the unconquerable Sātyaki, Drupada, the sons of Draupadī, and others, O King, such as the mighty-armed son of Subhadrā, all blew their respective conchshells."
1.19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् ।\nनभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् ॥ १९ ॥,sa ghoṣo dhārtarāṣṭrāṇāṁ\nhṛdayāni vyadārayat\nnabhaś ca pṛthivīṁ caiva\ntumulo ’bhyanunādayan\n\n,saḥ — that; ghoṣaḥ — vibration; dhārtarāṣṭrāṇām — of the sons of Dhṛtarāṣṭra; hṛdayāni — hearts; vyadārayat — shattered; nabhaḥ — the sky; ca — also; pṛthivīm — the surface of the earth; ca — also; eva — certainly; tumulaḥ — uproarious; abhyanunādayan — resounding.,"The blowing of these different conchshells became uproarious. Vibrating both in the sky and on the earth, it shattered the hearts of the sons of Dhṛtarāṣṭra."
1.20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः ।\nप्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः ।\nहृषीकेशं तदा वाक्यमिदमाह महीपते ॥ २० ॥,atha vyavasthitān dṛṣṭvā\ndhārtarāṣṭrān kapi-dhvajaḥ\npravṛtte śastra-sampāte\ndhanur udyamya pāṇḍavaḥ\nhṛṣīkeśaṁ tadā vākyam\nidam āha mahī-pate\n\n,atha — thereupon; vyavasthitān — situated; dṛṣṭvā — looking upon; dhārtarāṣṭrān — the sons of Dhṛtarāṣṭra; kapi-dhvajaḥ — he whose flag was marked with Hanumān; pravṛtte — while about to engage; śastra-sampāte — in releasing his arrows; dhanuḥ — bow; udyamya — taking up; pāṇḍavaḥ — the son of Pāṇḍu (Arjuna); hṛṣīkeśam — unto Lord Kṛṣṇa; tadā — at that time; vākyam — words; idam — these; āha — said; mahī-pate — O King.,"At that time Arjuna, the son of Pāṇḍu, seated in the chariot bearing the flag marked with Hanumān, took up his bow and prepared to shoot his arrows. O King, after looking at the sons of Dhṛtarāṣṭra drawn in military array, Arjuna then spoke to Lord Kṛṣṇa these words."
1.21-22,अर्जुन उवाच\nसेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ।\nयावदेतान्निरीक्षेऽहं योद्‍धुकामानवस्थितान् ॥ २१ ॥\nकैर्मया सह योद्धव्यमस्मिन्‍रणसमुद्यमे ॥ २२ ॥,arjuna uvāca\nsenayor ubhayor madhye\nrathaṁ sthāpaya me ’cyuta\nyāvad etān nirīkṣe ’haṁ\nyoddhu-kāmān avasthitān\n\nkair mayā saha yoddhavyam\nasmin raṇa-samudyame\n\n,arjunaḥ uvāca — Arjuna said; senayoḥ — of the armies; ubhayoḥ — both; madhye — between; ratham — the chariot; sthāpaya — please keep; me — my; acyuta — O infallible one; yāvat — as long as; etān — all these; nirīkṣe — may look upon; aham — I; yoddhu-kāmān — desiring to fight; avasthitān — arrayed on the battlefield; kaiḥ — with whom; mayā — by me; saha — together; yoddhavyam — have to fight; asmin — in this; raṇa — strife; samudyame — in the attempt.,"Arjuna said: O infallible one, please draw my chariot between the two armies so that I may see those present here, who desire to fight, and with whom I must contend in this great trial of arms."
1.23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः ।\nधार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥ २३ ॥,yotsyamānān avekṣe ’haṁ\nya ete ’tra samāgatāḥ\ndhārtarāṣṭrasya durbuddher\nyuddhe priya-cikīrṣavaḥ\n\n,yotsyamānān — those who will be fighting; avekṣe — let me see; aham — I; ye — who; ete — those; atra — here; samāgatāḥ — assembled; dhārtarāṣṭrasya — for the son of Dhṛtarāṣṭra; durbuddheḥ — evil-minded; yuddhe — in the fight; priya — well; cikīrṣavaḥ — wishing.,"Let me see those who have come here to fight, wishing to please the evil-minded son of Dhṛtarāṣṭra."
1.24,सञ्जय उवाच\nएवमुक्तो हृषीकेशो गुडाकेशेन भारत ।\nसेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥ २४ ॥,sañjaya uvāca\nevam ukto hṛṣīkeśo\nguḍākeśena bhārata\nsenayor ubhayor madhye\nsthāpayitvā rathottamam\n\n,sañjayaḥ uvāca — Sañjaya said; evam — thus; uktaḥ — addressed; hṛṣīkeśaḥ — Lord Kṛṣṇa; guḍākeśena — by Arjuna; bhārata — O descendant of Bharata; senayoḥ — of the armies; ubhayoḥ — both; madhye — in the midst; sthāpayitvā — placing; ratha-uttamam — the finest chariot.,"Sañjaya said: O descendant of Bharata, having thus been addressed by Arjuna, Lord Kṛṣṇa drew up the fine chariot in the midst of the armies of both parties."
1.25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् ।\nउवाच पार्थ पश्यैतान्समवेतान्कुरुनिति ॥ २५ ॥,bhīṣma-droṇa-pramukhataḥ\nsarveṣāṁ ca mahī-kṣitām\nuvāca pārtha paśyaitān\nsamavetān kurūn iti\n\n,bhīṣma — Grandfather Bhīṣma; droṇa — the teacher Droṇa; pramukhataḥ — in front of; sarveṣām — all; ca — also; mahī-kṣitām — chiefs of the world; uvāca — said; pārtha — O son of Pṛthā; paśya — just behold; etān — all of them; samavetān — assembled; kurūn — the members of the Kuru dynasty; iti — thus.,"In the presence of Bhīṣma, Droṇa and all the other chieftains of the world, the Lord said, “Just behold, Pārtha, all the Kurus assembled here.”"
1.26,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान्।\nआचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा।\nश्वश‍ुरान्सुहृदश्चैव सेनयोरुभयोरपि ॥ २६ ॥,tatrāpaśyat sthitān pārthaḥ\npitṝn atha pitāmahān\nācāryān mātulān bhrātṝn\nputrān pautrān sakhīṁs tathā\nśvaśurān suhṛdaś caiva\nsenayor ubhayor api\n\n,tatra — there; apaśyat — he could see; sthitān — standing; pārthaḥ — Arjuna; pitṝn — fathers; atha — also; pitāmahān — grandfathers; ācāryān — teachers; mātulān — maternal uncles; bhrātṝn — brothers; putrān — sons; pautrān — grandsons; sakhīn — friends; tathā — too; śvaśurān — fathers-in-law; suhṛdaḥ — well-wishers; ca — also; eva — certainly; senayoḥ — of the armies; ubhayoḥ — of both parties; api — including.,"There Arjuna could see, within the midst of the armies of both parties, his fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, friends, and also his fathers-in-law and well-wishers."
1.27,तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् ।\nकृपया परयाविष्टो विषीदन्निदमब्रवीत् ॥ २७ ॥,tān samīkṣya sa kaunteyaḥ\nsarvān bandhūn avasthitān\nkṛpayā parayāviṣṭo\nviṣīdann idam abravīt\n\n,tān — all of them; samīkṣya — after seeing; saḥ — he; kaunteyaḥ — the son of Kuntī; sarvān — all kinds of; bandhūn — relatives; avasthitān — situated; kṛpayā — by compassion; parayā — of a high grade; āviṣṭaḥ — overwhelmed; viṣīdan — while lamenting; idam — thus; abravīt — spoke.,"When the son of Kuntī, Arjuna, saw all these different grades of friends and relatives, he became overwhelmed with compassion and spoke thus."
1.28,अर्जुन उवाच\nदृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ।\nसीदन्ति मम गात्राणि मुखं च परिश‍ुष्यति ॥ २८ ॥,arjuna uvāca\ndṛṣṭvemaṁ sva-janaṁ kṛṣṇa\nyuyutsuṁ samupasthitam\nsīdanti mama gātrāṇi\nmukhaṁ ca pariśuṣyati\n\nyasyāsti bhaktir bhagavaty akiñcanā\nsarvair guṇais tatra samāsate surāḥ\nharāv abhaktasya kuto mahad-guṇā\nmano-rathenāsati dhāvato bahiḥ\n\n,arjunaḥ uvāca — Arjuna said; dṛṣṭvā — after seeing; imam — all these; sva-janam — kinsmen; kṛṣṇa — O Kṛṣṇa; yuyutsum — all in a fighting spirit; samupasthitam — present; sīdanti — are quivering; mama — my; gātrāṇi — limbs of the body; mukham — mouth; ca — also; pariśuṣyati — is drying up.,"Arjuna said: My dear Kṛṣṇa, seeing my friends and relatives present before me in such a fighting spirit, I feel the limbs of my body quivering and my mouth drying up."
1.29,वेपथुश्च शरीरे मे रोमहर्षश्च जायते ।\nगाण्डीवं स्रंसते हस्तात्त्वक्च‍ैव परिदह्यते ॥ २९ ॥,vepathuś ca śarīre me\nroma-harṣaś ca jāyate\ngāṇḍīvaṁ sraṁsate hastāt\ntvak caiva paridahyate\n\n,vepathuḥ — trembling of the body; ca — also; śarīre — on the body; me — my; roma-harṣaḥ — standing of hair on end; ca — also; jāyate — is taking place; gāṇḍīvam — the bow of Arjuna; sraṁsate — is slipping; hastāt — from the hand; tvak — skin; ca — also; eva — certainly; paridahyate — is burning.,"My whole body is trembling, my hair is standing on end, my bow Gāṇḍīva is slipping from my hand, and my skin is burning."
1.30,न च शक्न‍ोम्यवस्थातुं भ्रमतीव च मे मनः ।\nनिमित्तानि च पश्यामि विपरीतानि केशव ॥ ३० ॥,na ca śaknomy avasthātuṁ\nbhramatīva ca me manaḥ\nnimittāni ca paśyāmi\nviparītāni keśava\n\n,na — nor; ca — also; śaknomi — am I able; avasthātum — to stay; bhramati — forgetting; iva — as; ca — and; me — my; manaḥ — mind; nimittāni — causes; ca — also; paśyāmi — I see; viparītāni — just the opposite; keśava — O killer of the demon Keśī (Kṛṣṇa).,"I am now unable to stand here any longer. I am forgetting myself, and my mind is reeling. I see only causes of misfortune, O Kṛṣṇa, killer of the Keśī demon."
1.31,न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ।\nन काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च ॥ ३१ ॥,na ca śreyo ’nupaśyāmi\nhatvā sva-janam āhave\nna kāṅkṣe vijayaṁ kṛṣṇa\nna ca rājyaṁ sukhāni ca\n\n,na — nor; ca — also; śreyaḥ — good; anupaśyāmi — do I foresee; hatvā — by killing; sva-janam — own kinsmen; āhave — in the fight; na — nor; kāṅkṣe — do I desire; vijayam — victory; kṛṣṇa — O Kṛṣṇa; na — nor; ca — also; rājyam — kingdom; sukhāni — happiness thereof; ca — also.,"I do not see how any good can come from killing my own kinsmen in this battle, nor can I, my dear Kṛṣṇa, desire any subsequent victory, kingdom or happiness."
1.32-35,किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ।\nयेषामर्थे काङ्‍‍क्षितं नो राज्यं भोगाः सुखानि च ॥ ३२ ॥\nत इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ।\nआचार्याः पितरः पुत्रास्तथैव च पितामहाः ॥ ३3 ॥\nमातुलाः श्वश‍ुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ।\nएतान्न हन्तुमिच्छामि घ्न‍तोऽपि मधुसूदन ॥ ३४ ॥\nअपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ।\nनिहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्ज‍नार्दन ॥ ३५ ॥,kiṁ no rājyena govinda\nkiṁ bhogair jīvitena vā\nyeṣām arthe kāṅkṣitaṁ no\nrājyaṁ bhogāḥ sukhāni ca\n\nta ime ’vasthitā yuddhe\nprāṇāṁs tyaktvā dhanāni ca\nācāryāḥ pitaraḥ putrās\ntathaiva ca pitāmahāḥ\n\nmātulāḥ śvaśurāḥ pautrāḥ\nśyālāḥ sambandhinas tathā\netān na hantum icchāmi\nghnato ’pi madhusūdana\n\napi trailokya-rājyasya\nhetoḥ kiṁ nu mahī-kṛte\nnihatya dhārtarāṣṭrān naḥ\nkā prītiḥ syāj janārdana\n\n,kim — what use; naḥ — to us; rājyena — is the kingdom; govinda — O Kṛṣṇa; kim — what; bhogaiḥ — enjoyment; jīvitena — living; vā — either; yeṣām — of whom; arthe — for the sake; kāṅkṣitam — is desired; naḥ — by us; rājyam — kingdom; bhogāḥ — material enjoyment; sukhāni — all happiness; ca — also; te — all of them; ime — these; avasthitāḥ — situated; yuddhe — on this battlefield; prāṇān — lives; tyaktvā — giving up; dhanāni — riches; ca — also; ācāryāḥ — teachers; pitaraḥ — fathers; putrāḥ — sons; tathā — as well as; eva — certainly; ca — also; pitāmahāḥ — grandfathers; mātulāḥ — maternal uncles; śvaśurāḥ — fathers-in-law; pautrāḥ — grandsons; śyālāḥ — brothers-in-law; sambandhinaḥ — relatives; tathā — as well as; etān — all these; na — never; hantum — to kill; icchāmi — do I wish; ghnataḥ — being killed; api — even; madhusūdana — O killer of the demon Madhu (Kṛṣṇa); api — even if; trai-lokya — of the three worlds; rājyasya — for the kingdom; hetoḥ — in exchange; kim nu — what to speak of; mahī-kṛte — for the sake of the earth; nihatya — by killing; dhārtarāṣṭrān — the sons of Dhṛtarāṣṭra; naḥ — our; kā — what; prītiḥ — pleasure; syāt — will there be; janārdana — O maintainer of all living entities.,"O Govinda, of what avail to us are a kingdom, happiness or even life itself when all those for whom we may desire them are now arrayed on this battlefield? O Madhusūdana, when teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are ready to give up their lives and properties and are standing before me, why should I wish to kill them, even though they might otherwise kill me? O maintainer of all living entities, I am not prepared to fight with them even in exchange for the three worlds, let alone this earth. What pleasure will we derive from killing the sons of Dhṛtarāṣṭra?"
